ATRNOMECIDADE,ATRSIGLAESTADO,ATRDATAINICIO,ATRDATAFINAL,ATRDOMINGO,ATRSEGUNDA,ATRTERCA,ATRQUARTA,ATRQUINTA,ATRSEXTA,ATRSABADO
Jundiaí,SP,20220711,20230329,S,S,S,S,S,S,S
Jundiaí,SP,20200320,20211128,S,S,S,S,S,S,S
São Caetano do Sul,SP,20230219,99991231,S,N,N,S,S,S,S
São Caetano do Sul,SP,20220701,20230218,S,S,S,S,S,S,S
São Caetano do Sul,SP,20200921,20220630,S,S,S,S,S,S,S
Campinas,SP,20220701,99991231,S,S,S,S,S,S,S
Campinas,SP,20210823,20220630,S,S,S,S,S,S,S
Jundiaí,SP,20200321,20200321,S,S,S,S,S,S,S
Santo André,SP,20211029,20211029,S,S,S,S,S,S,S
Santo André,SP,20210916,20210916,S,S,S,S,S,S,S
Santo André,SP,20210823,20210823,S,S,S,S,S,S,S
Santo André,SP,20210707,20210708,S,S,S,S,S,S,S
Santo André,SP,20210520,20210521,S,S,S,S,S,S,S
Santo André,SP,20210315,20210319,S,S,S,S,S,S,S
São Paulo,SP,20211126,99991231,S,S,S,S,S,S,S
São Paulo,SP,20200320,20211125,S,S,S,S,S,S,S
São Paulo,SP,20220809,99991231,S,S,S,S,S,S,S
São Paulo,SP,20200320,20220630,S,S,S,S,S,S,S
São João da Boa Vista,SP,20230224,99991231,S,N,N,S,S,S,S
São João da Boa Vista,SP,20201207,20210215,S,S,S,S,S,S,S
São Paulo,SP,20220401,20220427,S,S,S,S,S,S,S
São Paulo,SP,20200323,20220331,S,S,S,S,S,S,S
Campinas,SP,20200330,20200409,S,S,S,S,S,S,S
São Paulo,SP,20220701,99991231,S,S,S,S,S,S,S
São Paulo,SP,20200320,20220630,S,S,S,S,S,S,S
Jaú,SP,20220701,99991231,S,S,S,S,S,S,S
Jaú,SP,20210105,20220630,S,S,S,S,S,S,S
Jaú,SP,20200827,20200902,S,S,S,S,S,S,S
São José do Rio Preto,SP,20220815,20220831,N,N,N,N,N,N,N
São José do Rio Preto,SP,20220901,20221026,N,N,N,N,N,N,N
São José do Rio Preto,SP,20221027,99991231,S,S,S,S,S,S,S
São José do Rio Preto,SP,20200320,20201121,S,S,S,S,S,S,S
São Paulo,SP,20200320,20220604,S,S,S,S,S,S,S
Hortolândia,SP,20230401,20230426,S,S,S,S,S,S,S
Hortolândia,SP,20230427,99991231,S,S,S,S,S,S,S
Hortolândia,SP,20200319,20211125,S,S,S,S,S,S,S
Hortolândia,SP,20220401,20230331,S,S,S,S,S,S,S
São Paulo,SP,20201101,20201130,S,S,S,S,S,S,S
São Paulo,SP,20201201,20211128,S,S,S,S,S,S,S
São Bernardo do Campo,SP,20201226,20210105,S,S,S,S,S,S,S
Campinas,SP,20220701,99991231,S,S,S,S,S,S,S
Campinas,SP,20200323,20220630,S,S,S,S,S,S,S
Jundiaí,SP,20220709,99991231,S,S,S,S,S,S,S
Jundiaí,SP,20200504,20220410,S,S,S,S,S,S,S
Campinas,SP,20200408,20200408,S,S,S,S,S,S,S
Campinas,SP,20200330,20200331,S,S,S,S,S,S,S
Guarulhos,SP,20201101,20201130,S,S,S,S,S,S,S
Guarulhos,SP,20201201,20210225,S,S,S,S,S,S,S
Guarulhos,SP,20221003,99991231,S,S,S,S,S,S,S
Guarulhos,SP,20220627,20220930,S,S,S,S,S,S,S
Guarulhos,SP,20200320,20220626,S,S,S,S,S,S,S
Monte Mor,SP,20200915,20220531,S,S,S,S,S,S,S
Monte Mor,SP,20220602,20221002,S,S,S,S,S,S,S
São Paulo,SP,20221003,99991231,S,S,S,S,S,S,S
São Paulo,SP,20220615,20221002,S,S,S,S,S,S,S
São Paulo,SP,20200320,20220614,S,S,S,S,S,S,S
São Paulo,SP,20210605,20211127,S,S,S,S,S,S,S
São Paulo,SP,20211201,20220410,S,S,S,S,S,S,S
São Paulo,SP,20200321,20201005,S,S,S,S,S,S,S
São Paulo,SP,20200320,20220501,S,S,S,N,S,S,S
Hortolândia,SP,20200330,20200408,S,S,S,S,S,S,S
Caraguatatuba,SP,20220103,99991231,S,S,S,S,S,S,S
Caraguatatuba,SP,20200317,20220102,S,S,S,S,S,S,S
São Paulo,SP,20221101,99991231,S,S,S,S,S,S,S
São Paulo,SP,20220101,20221031,S,S,S,S,S,S,S
São Paulo,SP,20230504,99991231,S,S,S,S,S,S,S
São Paulo,SP,20221104,20230503,S,S,S,S,S,S,S
São Paulo,SP,20211001,20220501,S,S,S,S,S,S,S
São Paulo,SP,20200319,20200630,S,S,S,S,S,S,S
São Paulo,SP,20210101,20210831,S,S,S,S,S,S,S
Guarulhos,SP,20200317,20200331,S,S,S,S,S,S,S
Guarulhos,SP,20200504,20220417,S,S,S,S,S,S,S
São Paulo,SP,20200323,20220630,S,S,S,S,S,S,S
São Paulo,SP,20200320,20200406,S,S,S,S,S,S,S
Guarulhos,SP,20211201,99991231,S,S,S,S,S,S,S
Guarulhos,SP,20200320,20211130,S,S,S,S,S,S,S
São Paulo,SP,20200323,20211216,S,S,S,S,S,S,S
Guarulhos,SP,20201222,20210104,S,S,S,S,S,S,S
Guarulhos,SP,20200324,20200708,S,S,S,S,S,S,S
São Paulo,SP,20201202,20201231,S,S,S,S,S,S,S
São Paulo,SP,20210101,20210129,S,S,S,S,S,S,S
São Paulo,SP,20200323,20220630,S,S,S,S,S,S,S
Guarulhos,SP,20200323,20200720,S,S,S,S,S,S,S
São Paulo,SP,20200320,20200714,S,S,S,S,S,S,S
São Paulo,SP,20210309,20210309,S,S,S,S,S,S,S
São Paulo,SP,20210310,20210310,S,S,S,S,S,S,S
São Paulo,SP,20210312,20210312,S,S,S,S,S,S,S
São Paulo,SP,20210315,20210315,S,S,S,S,S,S,S
São Paulo,SP,20210316,20210316,S,S,S,S,S,S,S
São Paulo,SP,20210319,20210319,S,S,S,S,S,S,S
São Paulo,SP,20210308,20210308,S,S,S,S,S,S,S
São Paulo,SP,20210311,20210311,S,S,S,S,S,S,S
São Paulo,SP,20210317,20210317,S,S,S,S,S,S,S
São Paulo,SP,20210318,20210318,S,S,S,S,S,S,S
São Paulo,SP,20200323,20200331,S,S,S,S,S,S,S
Guarulhos,SP,20200323,20220630,S,S,S,S,S,S,S
São Paulo,SP,20200320,20200714,S,S,S,S,S,S,S
São Paulo,SP,20200320,20211219,S,S,S,S,S,S,S
Campinas,SP,20220701,99991231,S,S,S,S,S,S,S
Campinas,SP,20200701,20220630,S,S,S,S,S,S,S
Campinas,SP,20220506,99991231,S,S,S,S,S,S,S
Campinas,SP,20200320,20220505,S,S,S,S,S,S,S
Indaiatuba,SP,20180702,20191102,S,S,S,S,S,S,S
Campinas,SP,20200320,20220630,S,S,S,S,S,S,S
Campinas,SP,20220401,20220501,N,N,N,N,N,N,N
Campinas,SP,20200320,20220331,S,S,S,S,S,S,S
São Paulo,SP,20200318,20220630,S,S,S,S,S,S,S
São Paulo,SP,20200317,20200514,S,S,S,S,S,S,S
